Timestamp,Market Open Interest,Daily Range,10 Day  Average Daily Range,10 Day Average MOI,Greater MOI,Greater DR
19-04-2016,271356,14,31.8,265780.6,1,0
18-04-2016,262638,27,30.6,264648.9,0,0
15-04-2016,264925,32,29.9,264142.3,1,1
14-04-2016,254701,24,28.8,262817.4,0,0
13-04-2016,259983,33,28.1,261953.8,0,1
12-04-2016,258932,34,28.6,261350.8,0,1
11-04-2016,260315,38,28.3,261228,0,1
08-04-2016,258224,35,27.9,261028,0,1
07-04-2016,254830,28,29,260471.5,0,0
06-04-2016,251282,28,29.3,259718.6,0,0
05-04-2016,252246,34,31.3,257807.6,0,1
04-04-2016,249340,50,33.6,256477.8,0,1
01-04-2016,246879,37,34.1,254673.2,0,1
31-03-2016,246243,65,38.2,253827.4,0,1
30-03-2016,251585,39,38.8,252987.6,0,1
29-03-2016,249606,63,41.7,252055,0,1
28-03-2016,243148,34,41.3,250338.3,0,0
25-03-2016,254926,48,42.6,250008.5,1,1
24-03-2016,252846,33,43.1,249810.1,1,0
23-03-2016,248375,43,44.6,249519.4,0,0
22-03-2016,246911,27,43.9,248985.9,0,0
21-03-2016,243769,40,42.9,248428.8,0,0
18-03-2016,239137,30,42.2,247654.6,0,0
17-03-2016,232329,60,41.7,246263.2,0,1
16-03-2016,225615,28,40.6,243666.2,0,0
15-03-2016,233168,31,37.4,242022.4,0,0
14-03-2016,226589,40,38,240366.5,0,1
11-03-2016,220247,51,38.3,236898.6,0,1
10-03-2016,214993,37,38.7,233113.3,0,0
09-03-2016,215233,32,37.6,229799.1,0,0
08-03-2016,213149,37,38.6,226422.9,0,0
07-03-2016,212703,23,36.9,223316.3,0,0
04-03-2016,217708,28,36.7,221173.4,0,0
03-03-2016,215865,32,33.9,219527,0,0
02-03-2016,211182,36,34.7,218083.7,0,1
01-03-2016,211835,27,34.3,215950.4,0,0
29-02-2016,208028,33,33.6,214094.3,0,0
26-02-2016,209552,31,31.6,213024.8,0,0
25-02-2016,210773,27,30.6,212602.8,0,0
24-02-2016,205058,30,30.4,211585.3,0,0
23-02-2016,207538,28,29.5,211024.2,0,0
22-02-2016,204381,50,32.2,210192,0,1
19-02-2016,199535,44,33.8,208374.7,0,1
18-02-2016,198027,45,35.1,206590.9,0,1
17-02-2016,196170,43,35.8,205089.7,0,1
16-02-2016,193297,49,38,203235.9,0,1
15-02-2016,195705,58,40.5,202003.6,0,1
12-02-2016,195844,31,40.5,200632.8,0,0
11-02-2016,194620,50,42.8,199017.5,0,1
10-02-2016,198126,40,43.8,198324.3,0,0
05-02-2016,194994,70,48,197069.9,0,1
04-02-2016,201460,51,48.1,196777.8,1,1
03-02-2016,200909,44,48.1,196915.2,1,0
02-02-2016,200708,73,50.9,197183.3,1,1
29-01-2016,200306,30,49.6,197596.9,1,0
28-01-2016,198023,43,49,198069.5,0,0
27-01-2016,197285,47,47.9,198227.5,0,0
26-01-2016,201848,27,47.5,198827.9,1,0
22-01-2016,206595,27,45.2,200025.4,1,0
21-01-2016,208320,55,46.7,201044.8,1,1
20-01-2016,210225,28,42.5,202567.9,1,0
19-01-2016,208918,20,39.4,203313.7,1,0
18-01-2016,240714,28,37.8,207294.2,1,0
15-01-2016,215508,31,33.6,208774.2,1,0
14-01-2016,216889,31,33.7,210432.5,1,0
13-01-2016,211576,45,33.9,211787.8,0,1
12-01-2016,208197,23,31.5,212879,0,0
11-01-2016,204884,70,35.8,213182.6,0,1
08-01-2016,202367,31,36.2,212759.8,0,0
07-01-2016,202576,52,35.9,212185.4,0,1
06-01-2016,193716,48,37.9,210534.5,0,1
05-01-2016,190102,41,40,208652.9,0,1
04-01-2016,188994,45,41.7,203480.9,0,1
31-12-2015,188888,53,43.9,200818.9,0,1
30-12-2015,184211,30,43.8,197551.1,0,0
29-12-2015,184418,67,46,194835.3,0,1
28-12-2015,184373,40,47.7,192452.9,0,0
23-12-2015,185429,34,44.1,190507.4,0,0
22-12-2015,188374,35,44.5,189108.1,0,0
21-12-2015,189472,46,43.9,187797.7,1,1
18-12-2015,190573,35,42.6,187483.4,1,0
17-12-2015,193522,36,42.1,187825.4,1,0
16-12-2015,193839,43,41.9,188309.9,1,1
15-12-2015,196106,89,45.5,189031.7,1,1
14-12-2015,200437,32,45.7,190654.3,1,0
11-12-2015,201999,60,45,192412.4,1,1
10-12-2015,200568,29,43.9,194031.9,1,0
09-12-2015,202168,37,44.2,195705.8,1,0
08-12-2015,203110,35,44.2,197179.4,1,0
07-12-2015,202776,38,43.4,198509.8,1,0
